id,Start_minutes,End_minutes,X,Y,Team,Action,Half,Player_Name,next_player,next_action,next_x,next_y,event_id,next_team,next_event_id,xt_value,Date,Game,League,Manager,Match_ID,Season,Opposition_Team,Shots,SoT,Goals_scored,Goals_conceded,Accurate passes,Inaccurate passes,Passes,xG,Unnamed: 31,XG,Team.1,Unnamed: 34
1,0,0.3,48.8,54.8,Mamelodi Sundowns,Inaccurate passes,1st half,Lyle Lakay,Lyle Lakay,Lost balls,94.8,50.1,0,Mamelodi Sundowns,1,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,0,1,1,,,,,
5,0,0.17,43.4,49.2,Mamelodi Sundowns,Accurate passes,1st half,George Maluleka,Themba Zwane,Positional attacks,60.3,56.7,3,Mamelodi Sundowns,4,0.00342639,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
9,0,0.25,60.3,56.7,Mamelodi Sundowns,Accurate passes,1st half,Themba Zwane,Lyle Lakay,Positional attacks,59.1,67.8,7,Mamelodi Sundowns,8,-0.00138217,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
11,0,0.23,58,65.7,Mamelodi Sundowns,Accurate passes,1st half,Lyle Lakay,Nkosinathi Sibisi,Positional attacks,94.8,50.1,9,Lamontville Golden Arrows,10,0.04017542,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
16,0.23,0.57,85.6,68,Mamelodi Sundowns,Accurate passes,1st half,Bradley Ralani,Lyle Lakay,Positional attacks,76.2,64.8,11,Mamelodi Sundowns,12,-0.00634183,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
19,0.28,0.62,76.2,64.8,Mamelodi Sundowns,Accurate passes,1st half,Lyle Lakay,Gaston Sirino,Positional attacks,71.6,59.3,12,Mamelodi Sundowns,13,0.00279392,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
22,0.33,0.67,75.9,53.4,Mamelodi Sundowns,Accurate passes,1st half,Gaston Sirino,George Maluleka,Positional attacks,70.7,33.2,14,Mamelodi Sundowns,15,-0.00016372,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
24,0.42,0.75,56.6,23,Mamelodi Sundowns,Accurate passes,1st half,George Maluleka,Brian Onyango,Positional attacks,26.9,26.8,16,Mamelodi Sundowns,17,-0.0055322,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
26,0.47,0.8,26.9,26.8,Mamelodi Sundowns,Accurate passes,1st half,Brian Onyango,Denis Onyango,Positional attacks,13.2,32.4,17,Mamelodi Sundowns,18,-0.00049654,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,1,0,1,,,,,
29,0.52,0.85,15.2,32.9,Mamelodi Sundowns,Inaccurate passes,1st half,Denis Onyango,Denis Onyango,Lost balls,59.6,68,19,Mamelodi Sundowns,20,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,0,1,1,,,,,
